Категория;Название;Картинки;Артикул;Описание;Характеристика
Дитячі двоколісні велосипеди;Біговел Profi Kids ML1203A-1 Червоно-чорний  12 дюймів - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/75/74/27475/images/59427/59427.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/75/74/27475/images/59428/59428.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/75/74/27475/images/59429/59429.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/75/74/27475/images/59430/59430.55x0.png;ML1203A-1;"Розмір колеса: 12 дюймів 

Рама/вилка: Алюміній 

Кермо: Фарбована сталь  висота 55 см 

Накладки на кермі: Прогумовані грипси 

Сидіння: Кожзам покращеного типу  висота min = 33 см.  max = 41 см 

Підсидільний штир: Фарбований  регулюється по висоті  затискач: ексцентрик 

Колесо: Гума  надувне  ZENDA  12х2  50 

Обода: Фарбований алюміній 

Колісні втулки: Сталь  вісь із підшипниками 

Довжина/ширина: 86 см/43 см 

Вага: 3 3 кг 

Дод. комплектація: Обмежувач повороту керма  дзвінок  тканинна накладка на кермо ";"Рекомендована ціна: 0 | Вага товару: 3.3 | Габарити: довжина: 0 | Габарити: ширина: 0 | Габарити: висота: 0 | Вікова група: Від 2 років | Гарантія: 14 днів | Колір: Чорно-червоний | Кількість коліс: 2 | Матеріал рами: Алюміній | Вид: Біговел | Упаковка: Картонна коробка | Діаметр колеса: 12"" | Стать: унісекс | Бренд: PROFI KIDS | Країна реєстрації бренду: Китай | Стан: нове | Вік: Від 2-х років | Ручне гальмо: Ні | Матеріал коліс: Гума | Країна-виробник товару: Китай | Матеріал: Комбінований | Тип: Велосипед"
Дитячі двоколісні велосипеди;"Велосипед дитячий ""Rider"" LIKE2BIKE 211207 колеса 12""  з дзвоником - гурт(опт)  дропшиппінг";https://royaltoys.com.ua/wa-data/public/shop/products/18/98/29818/images/65572/65572.970.webp;211207;"Назва моделі: Like2bike Rider 12""

Колір: Синій

Вік: 3+

Характеристики:

Модельний рік – 2021

Діаметр коліс  дюйм – 12""

Кількість швидкостей – 1-ск.

Рама (матеріал) – сталь

Тип гальм – передній: кліщовий  задній: ножний

Вилка (матеріал) – сталь

Обода – сталеві  фарбовані

Втулка – сталева

Каретка – насипного типу (американка)

Система / Шатуни – сталевий  білий односкладовий

Кермо – сталеве  чорне із захисною накладкою

Винос керма – сталеве  чорне

Сідло – комфорт

Підсідельний штир – сталевий  чорний

Підсідельний затискач – ексцентрик  алюмінієвий

Педалі – пластикові  рифлені на підшипниках

Захист ланцюга – пластиковий  повний

Крила – пластикові

Багажник – немає

Покришка – 12""х2 125

Тренувальні колеса – пластикові з гумовою накладкою

Додаткові опції – дзвінок  катафоти передні та задній

Збірка % - 75%";"Вага товару: 0 | Габарити: довжина: 0 | Габарити: ширина: 0 | Габарити: висота: 0 | Рекомендована ціна: 0 | Матеріал: Комбінований | Тип: Велосипед | Додаткова комплектація: Додаткові колеса | Гарантія: 14 днів | Колір: синій | Вікова група: Від 3 років | Матеріал коліс: Гума | Країна-виробник товару: Китай | Упаковка: Картонна коробка | Вид: Двоколісні | Стать: унісекс | Тип гальма: Передній - кліщовий | Задній - ножний | Діаметр колеса: 12"" | Стан: нове | Вік: Від 3-х років | Бренд: LIKE2BIKE | Країна реєстрації бренду: Китай"
Дитячі двоколісні велосипеди;Біговел Profi Kids M 3255-2 колесо 12 дюймів - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/70/74/27470/images/59304/59304.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/70/74/27470/images/59305/59305.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/70/74/27470/images/59306/59306.55x0.png;M 3255-2;Вага : 2 кг Колеса  діаметр : 12 дюймів Матеріал коліс: EVA Ободу: пластмаса Регульоване сидіння  min 38см  max висота 38см Висота до керма - 65см;"Рекомендована ціна: 0 | Вага товару: 2.5 | Габарити: довжина: 52 | Габарити: ширина: 30 | Габарити: висота: 12 | Кількість коліс: 2 | Матеріал: Комбінований | Матеріал рами: Сталь | Тип: Велосипед | Вікова група: Від 2 років | Діаметр колеса: 12"" | Гарантія: 14 днів | Колір: блакитний | Вид: Біговел | Упаковка: Картонна коробка | Бренд: PROFI KIDS | Стать: Для хлопчиків | Країна реєстрації бренду: Китай | Стан: нове | Вік: Від 2-х років | Матеріал коліс: ПВХ | Ручне гальмо: Ні | Країна-виробник товару: Китай"
Дитячі двоколісні велосипеди;Біговел Profi Kids M 3255-3 колесо 12 дюймів - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/71/74/27471/images/59307/59307.970.webp;M 3255-3;Вага : 1 9 кг Колеса  діаметр : 12 дюймів Матеріал коліс: EVA Ободу: пластмаса Регульоване сидіння  min 38см  max висота 44см Висота до керма - 65см;"Рекомендована ціна: 0 | Вага товару: 2.8 | Габарити: довжина: 56 | Габарити: ширина: 30 | Габарити: висота: 17 | Діаметр колеса: 12"" | Ручне гальмо: Ні | Стан: нове | Бренд: PROFI KIDS | Країна реєстрації бренду: Китай | Вік: Від 2-х років | Матеріал: Комбінований | Тип: Велосипед | Вікова група: Від 2 років | Матеріал коліс: ПВХ | Гарантія: 14 днів | Колір: червоний | Країна-виробник товару: Китай | Вид: Біговел | Упаковка: Картонна коробка | Кількість коліс: 2 | Матеріал рами: Сталь | Стать: унісекс"
Дитячі двоколісні велосипеди;Велосипед дитячий PROF1 LMG14233 14 дюймів  червоний - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/54/75/27554/images/59990/59990.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/54/75/27554/images/59991/59991.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/54/75/27554/images/59992/59992.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/54/75/27554/images/59993/59993.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/54/75/27554/images/59994/59994.55x0.png;LMG14233;"Розмір 14 дюймів колеса

Рама/ вилка Магній

Кермо 1-болтове кріплення  фарбована сталь. Висота min=66 см.  max= 70 см.

Рульові Прогумовані накладки гріпси

Висота сидіння min= 46 см. max= 54 см.

Підсідельний штир Хромована сталь  регулюється по висоті  затиск: ексцентрик

Каретка Розбірна  на насипних підшипниках 

Система шатунів Одноелементна зі знімною зіркою

Захист ланцюга Повна  пластмаса

Гальма 

Колеса Гума XJ / 14х2 125

Обода Магнієві

Педалі Пластмаса з бічними відбивачами

Крила Переднє/заднє  пластмаса

Доп. Комплектація Допоміжні бокові колеса  дзвінок

Вага 7 5 кг";"Рекомендована ціна: 0 | Вага товару: 9.4 | Габарити: довжина: 83 | Габарити: ширина: 38 | Габарити: висота: 18 | Висота рульової стійки: 66-70 см | Діаметр колеса: 14"" | Матеріал: Комбінований | Тип: Велосипед | Вікова група: Від 3 років | Бренд: PROF1 | Гарантія: 14 днів | Колір: червоний | Країна реєстрації бренду: Китай | Тип гальма: Передній – дисковий | Задній - дисковий | Вид: Двоколісні | Ручне гальмо: Так | Упаковка: Картонна коробка | Висота сидіння: 46-54 см | Стать: унісекс | Додаткова комплектація: Додаткові колеса | Матеріал коліс: Гума | Країна-виробник товару: Китай | Стан: нове | Вік: Від 3-х років | Кількість коліс: 2 | Матеріал рами: Сталь"
Дитячі двоколісні велосипеди;Велосипед дитячий LANQ WLN1446G-3 14 дюймів  червоний - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/46/75/27546/images/59846/59846.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/46/75/27546/images/59849/59849.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/46/75/27546/images/59852/59852.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/46/75/27546/images/59858/59858.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/46/75/27546/images/59859/59859.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/46/75/27546/images/59860/59860.55x0.png;WLN1446G-3;"Розмір 14 дюймів колеса

Рама Магній

Вилка Магній

Кермо 1-болтове кріплення  фарбована сталь. Висота min=65 см.  max= 70 см.

Рульові Прогумовані накладки гріпси

Висота сидіння min= 47 см. max= 57 см.

Підсідельний штир Фарбована сталь  регулюється по висоті  затиск: ексцентрик

Каретка Розбірна  на насипних підшипниках 

Система шатунів Одноелементна зі знімною зіркою

Захист ланцюга Повна  пластмаса

Гальма Передні-дискові  задні - дискові

Колеса Гума XJ / 14х2 125

Обода Магній

Педалі Пластмаса з бічними відбивачами

Багажник Немає

Крила Переднє/заднє  пластмаса

Доп. Комплектація Допоміжні бокові колеса  дзвінок

Вага 7 5 кг";"Вага товару: 13 | Габарити: довжина: 67 | Габарити: ширина: 42 | Габарити: висота: 36 | Рекомендована ціна: 0 | Країна реєстрації бренду: Китай | Матеріал: Комбінований | Додаткова комплектація: Додаткові колеса | Тип: Велосипед | Вікова група: Від 3 років | Гарантія: 14 днів | Колір: червоний | Матеріал коліс: Гума | Вид: Двоколісні | Країна-виробник товару: Китай | Упаковка: Картонна коробка | Тип гальма: Передній – дисковий | Задній - дисковий | Стать: унісекс | Кількість коліс: 2 | Ручне гальмо: Так | Висота сидіння: 47-57 см | Матеріал рами: Сталь | Висота рульової стійки: 65-70 см | Діаметр колеса: 14"" | Стан: нове | Бренд: LANQ | Вік: Від 3-х років"
Дорослі  підліткові велосипеди;"Велосипед дорослий 2-х колісний 27 5"" A212705 LIKE2BIKE Active 1.0  зелений - гурт(опт)  дропшиппінг";https://royaltoys.com.ua/wa-data/public/shop/products/30/30/23030/images/44647/44647.970.webp;A212705;"LIKE2BIKE Active 1.0

Колір зелений

Характеристики:

Модельний рік – 2021

Розмір рами  дюйм – 18

Діаметр коліс  дюйм – 27 5

Тип гальм - дискові

Рама матеріал – алюмінієва  гідроформована із внутрішньою проводкою

Кількість швидкостей - 21-ск.

Система / Шатуни - NECO сталь 24/34/42T  170 мм

Привід дискових гальм - механічний/ротор 160 мм

Рульова колонка - NECO  напівінтегрована

Каретка – Kenli  картридж

Втулка передня – 32H  під ексцентрик  сталева

Втулка задня – 32H  під гайку  сталева

Касета / тріскачка - ATA  7-ти швидкісна  індексна

Передній перемикач швидкостей – Shimano FD-TZ500

Задній перемикач швидкостей – Shimano RD-TZ500

Ручки перемикання монети - Shimano ST-EF 41

Ручки гальма – Shimano ST-EF 41

Виделка передня - Mode  хід 80 мм

Обода – алюмінієві  подвійні

Покришки – KENDA 27 5 х 2 10 MTB тип

Педалі – МТВ тип

Кермо - Riser  сталевий

Винос керма – алюмінієвий  МТВ A-head

Грипси – МТВ тип

Підсідельний штир - сталевий

Сідло – VADER МТВ тип

Додаткові опції – катафоти  підніжка

Складання – 85

* Характеристики та комплектація товару можуть змінюватися виробником без повідомлення";"Рекомендована ціна: 0 | Вага товару: 18.3 | Габарити: довжина: 74 | Габарити: ширина: 138 | Габарити: висота: 18.5 | Діаметр колеса: 27,5"" | Стан: нове | Розмір рами: 18"" | Тип гальма: Дискові механічні | Бренд: LIKE2BIKE | Вік: Від 14-ти років | Країна реєстрації бренду: Китай | Матеріал: Комбінований | Тип: Велосипед | Гарантія: 14 днів | Колір: Різні кольори | Вікова група: Від 14 років | Країна-виробник товару: Китай | Упаковка: Картонна коробка | Вид: Двоколісні | Стать: унісекс | Матеріал рами: Алюміній"
Дитячі двоколісні велосипеди;Біговел дитячий Profi Kids М 5451A-1 Червоний  12 дюймів - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/08/75/27508/images/59498/59498.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/08/75/27508/images/59499/59499.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/08/75/27508/images/59500/59500.55x0.png;M 5451A-1;"Розмір колеса: 12 дюймів 

Рама/вилка: Полегшена сталь 

Кермо: Фарбована сталь. Висота 57 см 

Накладки на кермі: Прогумовані грипси 

Сидіння: Кожзам покращеного типу  висота min = 40 см.  max = 47 см 

Підсидільний штир: Фарбований  регулюється по висоті  затискач: ексцентрик 

Колесо: Гума  надувне  Hedy Cute  12х2  50 

Обода: Фарбована сталь 

Колісні втулки: Сталь  вісь із підшипниками 

Довжина/ширина: 85 см./41 см 

Дод. комплектація: М'яка тканинна накладка на кермі 

Вага: 4 35 кг ";"Вага товару: 5.3 | Габарити: довжина: 58 | Габарити: ширина: 31 | Габарити: висота: 23.5 | Рекомендована ціна: 0 | Гарантія: 14 днів | Колір: червоний | Країна реєстрації бренду: Китай | Вікова група: Від 2 років | Упаковка: Картонна коробка | Вид: Біговел | Стать: унісекс | Матеріал коліс: Гума | Країна-виробник товару: Китай | Стан: нове | Кількість коліс: 2 | Вік: Від 2-х років | Матеріал рами: Сталь | Діаметр колеса: 12"" | Матеріал: Комбінований | Ручне гальмо: Ні | Тип: Велосипед | Бренд: PROFI KIDS"
Дитячі двоколісні велосипеди;Біговел дитячий Profi Kids SMG1205A-2 Червоний  12 дюймів - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/03/75/27503/images/59489/59489.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/03/75/27503/images/59490/59490.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/03/75/27503/images/59491/59491.55x0.png;SMG1205A-2;"Розмір колеса: 12 дюймів 

Рама/вилка: Магній 

Кермо: Фарбована сталь. Висота 51 см 

Накладки на кермі: Прогумовані грипси 

Сидіння: Кожзам покращеного типу  висота min = 34 см.  max = 47 см 

Підсидільний штир: Фарбований  регулюється по висоті  затискач: ексцентрик 

Колесо: Гума  надувне  12х2  125 

Обода: Фарбована сталь 

Колісні втулки: Сталь  вісь із підшипниками 

Довжина/ширина: 87 см./43 см 

Дод. комплектація: Накладка на кермі 

Вага: 3 6 кг ";"Рекомендована ціна: 0 | Вага товару: 3.6 | Габарити: довжина: 0 | Габарити: ширина: 0 | Габарити: висота: 0 | Матеріал рами: Сталь | Діаметр колеса: 12"" | Ручне гальмо: Ні | Матеріал: Комбінований | Тип: Велосипед | Гарантія: 14 днів | Колір: червоний | Вікова група: Від 2 років | Бренд: PROFI KIDS | Країна реєстрації бренду: Китай | Упаковка: Картонна коробка | Вид: Біговел | Стать: унісекс | Матеріал коліс: Гума | Країна-виробник товару: Китай | Стан: нове | Вік: Від 2-х років | Кількість коліс: 2"
Дорослі  підліткові велосипеди;"Велосипед 2-х колісний 26""  A212602 LIKE2BIKE Active 1.0  помаранчевий - гурт(опт)  дропшиппінг";https://royaltoys.com.ua/wa-data/public/shop/products/20/30/23020/images/44626/44626.970.webp;A212602;"LIKE2BIKE Active 1.0

 Колір: Оранжевий

 Характеристики:

 Модельний рік – 2021

 Розмір рами  дюйм – 15

 Діаметр коліс  дюйм – 26 

Тип гальм – дискові 

Рама матеріал – алюмінієва  гідроформована 

Кількість швидкостей – 21-ск.

 Система /Шатуни – NECO сталь 24/34/42T  170 мм 

Привід дискових гальм – механічний /ротор 160 мм 

Рульова колонка – NECO  напівінтегрована 

Каретка – Kenli  картридж 

Втулка передня – 32H  під ексцентрик  сталева

 Втулка задня – 3   сталева Касета /тріскачка – ATA  7-ти швидкісна  індексна 

Передній перемикач швидкостей – Shimano FD-TZ500 

Задній перемикач швидкостей – Shimano RD-TZ500 Ручки перемикання манетки – Shimano ST-EF 41 

Ручки гальма – Shimano ST-EF 4 Mode  хід 50 мм 

Обода – алюмінієві  подвійні 

Покришки – KENDA 26 х1 95 MTB тип 

Педалі – МТВ тип Кермо – Riser  сталевий

 Винос керма – алюмінієвий  МТВ A-head 

Грипси – МТВ тип 

Підсідельний штир – сталевий 

Сідло – VA 

Додаткові опції – катафоти  підніжка 

Складання – 85

 * Характеристики та комплектація товару можуть бути змінені виробником без попередження.";"Вага товару: 17.5 | Габарити: довжина: 71 | Габарити: ширина: 132 | Габарити: висота: 18.5 | Рекомендована ціна: 0 | Бренд: LIKE2BIKE | Упаковка: Картонна коробка | Вид: Двоколісні | Країна реєстрації бренду: Китай | Стать: унісекс | Стан: нове | Вік: Від 14-ти років | Країна-виробник товару: Китай | Розмір рами: 15"" | Тип гальма: Дискові механічні | Матеріал рами: Алюміній | Матеріал: Комбінований | Діаметр колеса: 26"" | Тип: Велосипед | Гарантія: 14 днів | Колір: Різні кольори | Вікова група: Від 14 років"
